NOMINATIVO;DATA;ORA_INIZIO;ORA_TERMINE;TITOLO;COMMISSIONI;
SBRIGLIO GIUSEPPE;13/06/2011;15,00;16,00;;CONFERENZA CAPIGRUPPO;
MORETTI GABRIELE;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
TRONZANO ANDREA;13/06/2011;15,00;16,00;;CONFERENZA CAPIGRUPPO;
SCANDEREBECH FEDERICA;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
CAROSSA MARIO;13/06/2011;15,00;16,00;;CONFERENZA CAPIGRUPPO;
CARRETTA DOMENICO;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
CURTO MICHELE;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
BERTOLA VITTORIO;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
APPENDINO CHIARA;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
MUSY ALBERTO;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
MARTUCCI DENIS;13/06/2011;15,00;16,00;CONFERENZA CAPIGRUPPO;
SBRIGLIO GIUSEPPE;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
LO RUSSO STEFANO;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
MORETTI GABRIELE;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
TRONZANO ANDREA;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
SCANDEREBECH FEDERICA;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
CAROSSA MARIO;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
CARRETTA DOMENICO;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
CURTO MICHELE;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
BERTOLA VITTORIO;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
APPENDINO CHIARA;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
MUSY ALBERTO;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
MARTUCCI DENIS;15/06/2011;15,30;16,00;CONFERENZA CAPIGRUPPO;
ALTAMURA ALESSANDRO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE;
CENTILLO MARIA LUCIA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE;
COPPOLA MICHELE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE;
DELL'UTRI MICHELE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE;
LEVI-MONTALCINI PIERA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE;
MANGONE DOMENICO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE;
SBRIGLIO GIUSEPPE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
TRICARICO ROBERTO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
GENISIO DOMENICA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
RATTAZZI GIULIO CESARE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
CASSIANI LUCA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
LO RUSSO STEFANO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
MORETTI GABRIELE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
FERRARIS GIOVANNI MARIA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
TRONZANO ANDREA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
SCANDEREBECH FEDERICA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
CAROSSA MARIO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
LEVI MARTA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
GRIMALDI MARCO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
FURNARI RAFFAELLA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
FASSINO PIERO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
CARRETTA DOMENICO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
PAOLINO MICHELE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
VIALE SILVIO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
MUZZARELLI MARCO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
VENTURA GIOVANNI;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
CURTO MICHELE;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
PORCINO GIOVANNI;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
MARRONE MAURIZIO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
MAGLIANO SILVIO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
AMBROGIO PAOLA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
GRECO LUCCHINA PAOLO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
LIARDO ENZO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
BERTOLA VITTORIO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
APPENDINO CHIARA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
MUSY ALBERTO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
RICCA FABRIZIO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
CARBONERO ROBERTO;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
MARTUCCI DENIS;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
ALUNNO GUIDO MARIA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
NOMIS FOSCA;15/06/2011;16,30;20,20;CONSIGLIO COMUNALE
SBRIGLIO GIUSEPPE;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
RATTAZZI GIULIO CESARE;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
LO RUSSO STEFANO;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
MORETTI GABRIELE;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
FERRARIS GIOVANNI MARIA;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
TRONZANO ANDREA;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
SCANDEREBECH FEDERICA;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
CAROSSA MARIO;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
CURTO MICHELE;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
MAGLIANO SILVIO;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
BERTOLA VITTORIO;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
MUSY ALBERTO;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
MARTUCCI DENIS;21/06/2011;14,30;17,20;CONFERENZA CAPIGRUPPO
LO RUSSO STEFANO;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
MORETTI GABRIELE;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
TRONZANO ANDREA;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
SCANDEREBECH FEDERICA;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
CAROSSA MARIO;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
CURTO MICHELE;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
MAGLIANO SILVIO;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
MARTUCCI DENIS;27/06/2011;15,30;16,05;CONFERENZA CAPIGRUPPO
ALTAMURA ALESSANDRO;27/06/2011;16,00;18,45;CONSIGLIO COMUNALE
